# wavelength_um flux err
2.298666954040527344e+00 5.239199995994567871e-01 4.778180271387100220e-02
2.298686027526855469e+00 4.725313186645507812e-01 4.109473153948783875e-02
2.298705577850341797e+00 3.047848343849182129e-01 3.452035412192344666e-02
2.298724889755249023e+00 3.902975022792816162e-01 3.448909893631935120e-02
2.298744440078735352e+00 7.139941453933715820e-01 2.894600667059421539e-02
2.298763751983642578e+00 6.726769804954528809e-01 3.057431243360042572e-02
2.298783063888549805e+00 6.381322145462036133e-01 3.325717523694038391e-02
2.298802614212036133e+00 5.693832039833068848e-01 4.988519102334976196e-02
2.298821926116943359e+00 8.777562975883483887e-01 3.362555429339408875e-02
2.298841476440429688e+00 1.119163513183593750e+00 2.930701524019241333e-02
2.298860788345336914e+00 1.271310925483703613e+00 2.363988198339939117e-02
2.298880338668823242e+00 1.223022222518920898e+00 2.985983528196811676e-02
2.298899412155151367e+00 1.270893573760986328e+00 3.722733259201049805e-02
2.298918724060058594e+00 1.185001373291015625e+00 2.731902897357940674e-02
2.298938274383544922e+00 1.010592460632324219e+00 3.325417637825012207e-02
2.298957586288452148e+00 1.044015526771545410e+00 4.045535251498222351e-02
2.298977136611938477e+00 1.018270969390869141e+00 3.380352631211280823e-02
2.298996448516845703e+00 1.079876065254211426e+00 3.338916227221488953e-02
2.299015760421752930e+00 1.229314684867858887e+00 3.235393390059471130e-02
2.299035310745239258e+00 1.299806594848632812e+00 6.418789178133010864e-02
2.299054622650146484e+00 1.141592025756835938e+00 5.211414769291877747e-02
